"Order","Technique","TestName","auto_generated_guid","supported_platforms","TimeoutSeconds","InputArgs","AtomicsFolder","enabled","notes"
,"T1059.001","Run BloodHound from local disk","a21bb23e-e677-4ee7-af90-6931b57b6350","windows","120","","Public","True",""
,"T1543.003","Service Installation PowerShell","491a4af6-a521-4b74-b23b-f7b3f1ee9e77","windows","120","","Public","True",""
,"T1562.001","Disable Windows Defender with DISM","871438ac-7d6e-432a-b27d-3e7db69faf58","windows","120","","Public","True",""
