model;font;accuracy;precision;recall;f1_score
deepseek-r1_14b;data;0,76;0,8846153846153846;0,71875;0,7931034482758621
gemma3_12b;data;0,6666666666666666;0,6530612244897959;1,0;0,7901234567901235
llama3.1;data;0,6274509803921569;0,6274509803921569;1,0;0,7710843373493976
mistral-nemo;data;0,6730769230769231;0,6666666666666666;0,9696969696969697;0,7901234567901234
phi4;data;0,7169811320754716;0,6808510638297872;1,0;0,810126582278481
qwen3_14b;data;0,6111111111111112;0,6774193548387096;0,65625;0,6666666666666667
