process,winlog,@timestamp
"{'parent': {'name': 'powershell.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"" '}, 'name': 'cmd.exe', 'command_line': '""cmd.exe"" /c net user art-test /add & net user art-test -4RTisCool!-321 & net localgroup administrators art-test /add'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.265Z
"{'parent': {'name': 'cmd.exe', 'command_line': '""cmd.exe"" /c net user art-test /add & net user art-test -4RTisCool!-321 & net localgroup administrators art-test /add'}, 'name': 'net.exe', 'command_line': 'net  user art-test /add '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.352Z
"{'parent': {'name': 'net.exe', 'command_line': 'net  user art-test /add '}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  user art-test /add '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.380Z
"{'parent': {'name': 'cmd.exe', 'command_line': '""cmd.exe"" /c net user art-test /add & net user art-test -4RTisCool!-321 & net localgroup administrators art-test /add'}, 'name': 'net.exe', 'command_line': 'net  user art-test -4RTisCool!-321 '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.439Z
"{'parent': {'name': 'net.exe', 'command_line': 'net  user art-test -4RTisCool!-321 '}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  user art-test -4RTisCool!-321 '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.464Z
"{'parent': {'name': 'cmd.exe', 'command_line': '""cmd.exe"" /c net user art-test /add & net user art-test -4RTisCool!-321 & net localgroup administrators art-test /add'}, 'name': 'net.exe', 'command_line': 'net  localgroup administrators art-test /add'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.520Z
"{'parent': {'name': 'net.exe', 'command_line': 'net  localgroup administrators art-test /add'}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  localgroup administrators art-test /add'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.542Z
"{'parent': {'name': 'powershell.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"" '}, 'name': 'whoami.exe', 'command_line': '""C:\\Windows\\system32\\whoami.exe""'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:38.902Z
