process,winlog,@timestamp
"{'parent': {'name': 'powershell.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"" '}, 'name': 'git.exe', 'command_line': '""C:\\Program Files\\Git\\cmd\\git.exe"" clone https://github.com/gustavoguanabara/html-css'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-28T19:41:27.780Z
"{'parent': {'name': 'git.exe', 'command_line': '""C:\\Program Files\\Git\\cmd\\git.exe"" clone https://github.com/gustavoguanabara/html-css'}, 'name': 'git.exe', 'command_line': 'git.exe clone https://github.com/gustavoguanabara/html-css'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-28T19:41:28.002Z
"{'parent': {'name': 'git.exe', 'command_line': 'git.exe clone https://github.com/gustavoguanabara/html-css'}, 'name': 'git.exe', 'command_line': 'git remote-https origin https://github.com/gustavoguanabara/html-css'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-28T19:41:28.378Z
"{'parent': {'name': 'git.exe', 'command_line': 'git remote-https origin https://github.com/gustavoguanabara/html-css'}, 'name': 'git-remote-https.exe', 'command_line': 'git-remote-https origin https://github.com/gustavoguanabara/html-css'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-28T19:41:28.525Z
