process,winlog,@timestamp
"{'parent': {'name': 'ps_script.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\ps_script.exe"" '}, 'name': 'whoami.exe', 'command_line': '""C:\\Windows\\system32\\whoami.exe""'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:38.902Z
"{'parent': {'name': 'command.exe', 'command_line': '""command.exe"" /c net user art-test /add & net user art-test -4RTisCool!-321 & net localgroup admin art-test /add'}, 'name': 'network_tool.exe', 'command_line': 'net  user art-test -4RTisCool!-321 '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.439Z
"{'parent': {'name': 'ps_script.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\ps_script.exe"" '}, 'name': 'command.exe', 'command_line': '""command.exe"" /c net user art-test /add & net user art-test -4RTisCool!-321 & net localgroup admin art-test /add'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.265Z
"{'parent': {'name': 'network_tool.exe', 'command_line': 'net  user art-test /add '}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  user art-test /add '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.380Z
"{'parent': {'name': 'network_tool.exe', 'command_line': 'net  user art-test -4RTisCool!-321 '}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  user art-test -4RTisCool!-321 '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.464Z
"{'parent': {'name': 'network_tool.exe', 'command_line': 'net  localgroup admin art-test /add'}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  localgroup admin art-test /add'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.542Z
"{'parent': {'name': 'command.exe', 'command_line': '""command.exe"" /c net user art-test /add & net user art-test -4RTisCool!-321 & net localgroup admin art-test /add'}, 'name': 'network_tool.exe', 'command_line': 'net  user art-test /add '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.352Z
"{'parent': {'name': 'command.exe', 'command_line': '""command.exe"" /c net user art-test /add & net user art-test -4RTisCool!-321 & net localgroup admin art-test /add'}, 'name': 'network_tool.exe', 'command_line': 'net  localgroup admin art-test /add'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:33.520Z
