process,winlog,@timestamp
"{'parent': {'name': 'network_tool.exe', 'command_line': 'net  user Ronald /active:yes'}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  user Ronald /active:yes'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:28.149Z
"{'parent': {'name': 'ps_script.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\ps_script.exe"" '}, 'name': 'command.exe', 'command_line': '""command.exe"" /c net user Ronald /active:yes'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:28.068Z
"{'parent': {'name': 'ps_script.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\ps_script.exe"" '}, 'name': 'whoami.exe', 'command_line': '""C:\\Windows\\system32\\whoami.exe""'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:32.830Z
"{'parent': {'name': 'ps_script.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\ps_script.exe"" '}, 'name': 'whoami.exe', 'command_line': '""C:\\Windows\\system32\\whoami.exe""'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:27.743Z
"{'parent': {'name': 'command.exe', 'command_line': '""command.exe"" /c net user Ronald /active:yes'}, 'name': 'network_tool.exe', 'command_line': 'net  user Ronald /active:yes'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:28.130Z
